Timestamp,Frequency_Hz,S11_Real,S11_Imag,S22_Real,S22_Imag
2026-03-20T14:09:28.870185,1000000.0,0.998024,0.000770059,0.997525,0.00316833
2026-03-20T14:09:28.870185,6999000.0,0.990857,-0.0113991,0.991267,-0.0091549
2026-03-20T14:09:28.870185,12998000.0,0.989572,-0.0167673,0.989314,-0.0140704
2026-03-20T14:09:28.870185,18997000.0,0.988713,-0.0228914,0.988623,-0.0194825
2026-03-20T14:09:28.870185,24996000.0,0.985949,-0.035913,0.983963,-0.0389846
2026-03-20T14:09:28.870185,30995000.0,0.989328,-0.0321846,0.989986,-0.0335015
2026-03-20T14:09:28.870185,36994000.0,0.988726,-0.0429503,0.989176,-0.0397723
2026-03-20T14:09:28.870185,42993000.0,0.988954,-0.0501516,0.989549,-0.0470744
2026-03-20T14:09:28.870185,48992000.0,0.988736,-0.0575173,0.989379,-0.0541314
2026-03-20T14:09:28.870185,54991000.0,0.988508,-0.0649729,0.989745,-0.0618877
2026-03-20T14:09:28.870185,60990000.0,0.989811,-0.0759053,0.991063,-0.0676603
2026-03-20T14:09:28.870185,66989000.0,0.98858,-0.0801245,0.99,-0.0766381
2026-03-20T14:09:28.870185,72988000.0,0.988744,-0.0874233,0.990281,-0.0843069
2026-03-20T14:09:28.870185,78987000.0,0.988624,-0.0949625,0.989863,-0.0916821
2026-03-20T14:09:28.870185,84986000.0,0.988096,-0.102848,0.989752,-0.0997012
2026-03-20T14:09:28.870185,90985000.0,0.987169,-0.110344,0.98916,-0.107232
2026-03-20T14:09:28.870185,96984000.0,0.986658,-0.118356,0.988508,-0.114806
2026-03-20T14:09:28.870185,102983000.0,0.985793,-0.126158,0.987818,-0.12257
2026-03-20T14:09:28.870185,108982000.0,0.984832,-0.1339,0.986926,-0.129799
2026-03-20T14:09:28.870185,114981000.0,0.983786,-0.141407,0.985773,-0.137169
2026-03-20T14:09:28.870185,120980000.0,0.982569,-0.148942,0.98459,-0.144814
2026-03-20T14:09:28.870185,126979000.0,0.980825,-0.156852,0.983056,-0.152199
2026-03-20T14:09:28.870185,132978000.0,0.979108,-0.163987,0.981402,-0.159814
2026-03-20T14:09:28.870185,138977000.0,0.9774,-0.17161,0.979672,-0.167026
2026-03-20T14:09:28.870185,144976000.0,0.975577,-0.179461,0.97766,-0.174433
2026-03-20T14:09:28.870185,150975000.0,0.973423,-0.186619,0.975493,-0.181748
2026-03-20T14:09:28.870185,156974000.0,0.971396,-0.19399,0.973773,-0.188899
2026-03-20T14:09:28.870185,162973000.0,0.969816,-0.200919,0.971689,-0.19596
2026-03-20T14:09:28.870185,168972000.0,0.967801,-0.20805,0.969746,-0.203115
2026-03-20T14:09:28.870185,174971000.0,0.965802,-0.214999,0.967808,-0.20981
2026-03-20T14:09:28.870185,180970000.0,0.963323,-0.222163,0.966042,-0.21734
2026-03-20T14:09:28.870185,186969000.0,0.96177,-0.22977,0.96371,-0.223971
2026-03-20T14:09:28.870185,192968000.0,0.959762,-0.236583,0.961525,-0.231003
2026-03-20T14:09:28.870185,198967000.0,0.9574,-0.24341,0.959519,-0.237962
2026-03-20T14:09:28.870185,204966000.0,0.955518,-0.250274,0.957557,-0.244671
2026-03-20T14:09:28.870185,210965000.0,0.953396,-0.257599,0.955301,-0.251819
2026-03-20T14:09:28.870185,216964000.0,0.951391,-0.263747,0.953147,-0.258774
2026-03-20T14:09:28.870185,222963000.0,0.949552,-0.271083,0.951025,-0.265964
2026-03-20T14:09:28.870185,228962000.0,0.947136,-0.278037,0.948915,-0.273195
2026-03-20T14:09:28.870185,234961000.0,0.945793,-0.284782,0.947108,-0.280068
2026-03-20T14:09:28.870185,240960000.0,0.944193,-0.291694,0.945527,-0.287018
2026-03-20T14:09:28.870185,246959000.0,0.941972,-0.298541,0.943827,-0.294576
2026-03-20T14:09:28.870185,252958000.0,0.940237,-0.305983,0.941971,-0.301204
2026-03-20T14:09:28.870185,258957000.0,0.93868,-0.312835,0.94034,-0.308043
2026-03-20T14:09:28.870185,264956000.0,0.937008,-0.319751,0.938194,-0.315496
2026-03-20T14:09:28.870185,270955000.0,0.935362,-0.326693,0.936168,-0.322923
2026-03-20T14:09:28.870185,276954000.0,0.933186,-0.334332,0.934366,-0.32987
2026-03-20T14:09:28.870185,282953000.0,0.931715,-0.341426,0.93251,-0.33728
2026-03-20T14:09:28.870185,288952000.0,0.929427,-0.348024,0.930823,-0.344652
2026-03-20T14:09:28.870185,294951000.0,0.927627,-0.355312,0.928491,-0.351944
2026-03-20T14:09:28.870185,300950000.0,0.92538,-0.362783,0.926582,-0.359187
2026-03-20T14:09:28.870185,306949000.0,0.923275,-0.369567,0.924208,-0.366535
2026-03-20T14:09:28.870185,312948000.0,0.92173,-0.374998,0.921546,-0.373938
2026-03-20T14:09:28.870185,318947000.0,0.918635,-0.383341,0.919146,-0.380915
2026-03-20T14:09:28.870185,324946000.0,0.915826,-0.390524,0.916328,-0.387856
2026-03-20T14:09:28.870185,330945000.0,0.91293,-0.397531,0.913741,-0.394915
2026-03-20T14:09:28.870185,336944000.0,0.910152,-0.404554,0.910716,-0.40225
2026-03-20T14:09:28.870185,342943000.0,0.907097,-0.411426,0.907897,-0.408847
2026-03-20T14:09:28.870185,348942000.0,0.903716,-0.4182,0.904356,-0.416349
2026-03-20T14:09:28.870185,354941000.0,0.900189,-0.425432,0.901113,-0.422503
2026-03-20T14:09:28.870185,360940000.0,0.896678,-0.432649,0.897516,-0.429814
2026-03-20T14:09:28.870185,366939000.0,0.893136,-0.439174,0.893549,-0.436393
2026-03-20T14:09:28.870185,372938000.0,0.889521,-0.446003,0.890045,-0.443241
2026-03-20T14:09:28.870185,378937000.0,0.885631,-0.452605,0.88642,-0.44962
2026-03-20T14:09:28.870185,384936000.0,0.881814,-0.459323,0.882382,-0.456457
2026-03-20T14:09:28.870185,390935000.0,0.877645,-0.465495,0.878706,-0.46305
2026-03-20T14:09:28.870185,396934000.0,0.873982,-0.47224,0.874701,-0.469463
2026-03-20T14:09:28.870185,402933000.0,0.869864,-0.478278,0.870819,-0.475527
